Агрегат: Свободные данные
Дата и время: 06.06.2018 14:05:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
25.291636	-0.018935
25.329783	-0.008144
25.367930	0.010655
25.406078	0.013913
25.444225	0.023821
25.482372	0.047982
25.520519	0.074111
25.558667	0.094200
25.596814	0.108927
25.634961	0.123722
25.673108	0.136753
25.711256	0.153109
25.749403	0.153720
25.787550	0.146865
25.825698	0.153177
25.863845	0.157859
25.901992	0.154059
25.940139	0.148562
25.978287	0.145168
26.016434	0.150733
26.054581	0.153380
26.092728	0.160167
26.130876	0.158470
26.169023	0.136753
26.207170	0.132409
26.245317	0.122704
26.283465	0.101326
26.321612	0.077505
26.359759	0.052190
26.397906	0.050425
26.436054	0.038820
26.474201	0.019478
26.512348	0.021718
26.550496	0.020767
26.588643	0.016424
26.626790	0.004683
26.664937	-0.007058
26.703085	0.002104
26.741232	0.001765
26.779379	-0.005429
26.817526	-0.015270
26.855674	-0.023957
26.893821	-0.025450
26.931968	-0.033119
26.970115	-0.043367
27.008263	-0.050901
27.046410	-0.059384
27.084557	-0.069903
27.122704	-0.078183
27.160852	-0.077505
27.198999	-0.087956
27.237146	-0.101190
27.275294	-0.084834
27.313441	-0.080898
27.351588	-0.095421
27.389735	-0.095218
27.427883	-0.086531
27.466030	-0.083273
27.504177	-0.083613
27.542324	-0.081373
27.580472	-0.081441
27.618619	-0.072618
27.656766	-0.065831
27.694913	-0.069428
27.733061	-0.078658
27.771208	-0.070786
27.809355	-0.050018
27.847502	-0.042213
27.885650	-0.035087
27.923797	-0.024568
27.961944	-0.010044
28.000092	-0.001018
28.038239	0.000271
28.076386	0.019410
28.114533	0.045539
28.152681	0.066103
28.190828	0.066374
28.228975	0.033730
28.267122	0.052801
28.305270	0.124333
28.343417	0.114899
28.381564	0.025247
28.419711	-0.084970
28.457859	-0.203059
28.496006	-0.306285
28.534153	-0.380872
28.572301	-0.426750
28.610448	-0.431093
28.648595	-0.416909
28.686742	-0.395395
28.724890	-0.372049
28.763037	-0.329700
28.801184	-0.266787
28.839331	-0.212289
28.877479	-0.168175
28.915626	-0.121347
28.953773	-0.072211
28.991920	-0.028911
29.030068	0.008483
29.068215	0.037666
29.106362	0.061352
29.144509	0.078862
29.182657	0.081780
29.220804	0.091485
29.258951	0.106823
29.297099	0.112320
29.335246	0.127726
29.373393	0.147408
29.411540	0.162135
29.449688	0.183920
29.487835	0.207810
29.525982	0.236653
29.564129	0.258982
29.602277	0.262579
29.640424	0.253960
29.678571	0.236450
29.716718	0.222808
29.754866	0.214800
29.793013	0.203127
29.831160	0.188875
29.869307	0.175844
29.907455	0.164578
29.945602	0.154330
